Step,Intersection,Total Cars,Waiting Cars,Average Speed,Waiting Time
53.0,tlsmoomen,0,0,22.22,0.0
53.0,tlsmoomen2,0,0,25.0,0.0
53.0,tlsmoomen3,0,0,25.93,0.0
53.0,tlsnasser_square,0,0,20.82,0.0
54.0,tlshoria_square1,2,0,12.82,0.0
54.0,tlshoria_square2,11,4,13.8,14.0
54.0,tlshoria_square3,1,0,19.26,0.0
54.0,tlslasilky_square,0,0,27.78,0.0
54.0,tlslasilky_square2,0,0,27.78,0.0
54.0,tlslasilky_square3,0,0,27.78,0.0
54.0,tlsmoomen,0,0,22.22,0.0
54.0,tlsmoomen2,0,0,25.0,0.0
54.0,tlsmoomen3,0,0,25.93,0.0
54.0,tlsnasser_square,0,0,20.82,0.0
55.0,tlshoria_square1,1,0,15.04,0.0
55.0,tlshoria_square2,13,4,14.4,18.0
55.0,tlshoria_square3,0,0,22.22,0.0
55.0,tlslasilky_square,0,0,27.78,0.0
55.0,tlslasilky_square2,0,0,27.78,0.0
55.0,tlslasilky_square3,0,0,27.78,0.0
55.0,tlsmoomen,0,0,22.22,0.0
55.0,tlsmoomen2,0,0,25.0,0.0
55.0,tlsmoomen3,0,0,25.93,0.0
55.0,tlsnasser_square,0,0,20.82,0.0
